Quarter,Year,Sales
1,2000,573.889
2,2000,577.876
3,2000,637.858
4,2000,972.36
1,2001,700.356
2,2001,667.625
3,2001,639.281
4,2001,1115.171
1,2002,847.422
2,2002,805.605
3,2002,851.299
4,2002,1428.61
1,2003,1083.559
2,2003,1099.912
3,2003,1134.456
4,2003,1945.772
1,2004,1530.349
2,2004,1387.341
3,2004,1462.475
4,2004,2540.959
1,2005,1901.6
2,2005,1753
3,2005,1858
4,2005,2977
1,2006,2279
2,2006,2139
3,2006,2307
4,2006,3986
1,2007,3015
2,2007,2886
3,2007,3262
4,2007,5673
1,2008,4135
2,2008,4063
3,2008,4264
4,2008,6704
1,2009,4889
2,2009,4651
3,2009,5449
4,2009,9519
1,2010,7131
2,2010,6566
3,2010,7560
4,2010,12948
1,2011,9857
2,2011,9913
3,2011,10876
4,2011,17431
1,2012,13185
2,2012,12834
3,2012,13806
4,2012,21268
1,2013,16070
2,2013,15704
3,2013,17092
4,2013,25587
1,2014,19741
2,2014,19340
